0,1,2,3,4,5,6,7,8,9,10
sausage,sausage,bottled beer,spread cheese,,,,,,,
salty snack,butter,,,,,,,,,
canned beer,specialty vegetables,long life bakery product,,,,,,,,
sausage,tea,,,,,,,,,
liquor (appetizer),hard cheese,yogurt,,,,,,,,
grapes,butter,,,,,,,,,
chicken,chocolate,,,,,,,,,
candy,whole milk,cling film/bags,whipped/sour cream,newspapers,baking powder,,,,,
tropical fruit,other vegetables,,,,,,,,,
cling film/bags,ham,,,,,,,,,
root vegetables,white bread,canned fish,,,,,,,,
sausage,pastry,,,,,,,,,
grapes,whole milk,,,,,,,,,
brown bread,dishes,,,,,,,,,
frozen fish,rolls/buns,,,,,,,,,
sugar,whole milk,shopping bags,,,,,,,,
frozen dessert,beef,citrus fruit,root vegetables,,,,,,,
whole milk,cream cheese ,soda,,,,,,,,
bottled water,UHT-milk,,,,,,,,,
rolls/buns,bottled water,bottled water,,,,,,,,
root vegetables,misc. beverages,other vegetables,,,,,,,,
soda,candles,rolls/buns,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
soda,beverages,,,,,,,,,
other vegetables,brown bread,flower (seeds),,,,,,,,
bottled water,yogurt,,,,,,,,,
berries,shopping bags,,,,,,,,,
liver loaf,bottled beer,,,,,,,,,
pork,dessert,,,,,,,,,
butter,onions,butter milk,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
pastry,processed cheese,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
pip fruit,pet care,,,,,,,,,
shopping bags,coffee,,,,,,,,,
whole milk,butter,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
red/blush wine,other vegetables,rolls/buns,,,,,,,,
domestic eggs,sugar,,,,,,,,,
frankfurter,whole milk,fruit/vegetable juice,candy,,,,,,,
yogurt,root vegetables,,,,,,,,,
pastry,misc. beverages,flour,,,,,,,,
tropical fruit,soda,,,,,,,,,
butter,other vegetables,,,,,,,,,
whipped/sour cream,instant coffee,,,,,,,,,
pork,specialty bar,,,,,,,,,
rolls/buns,baking powder,onions,bottled water,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
butter milk,margarine,,,,,,,,,
soda,red/blush wine,,,,,,,,,
other vegetables,skin care,domestic eggs,,,,,,,,
tropical fruit,ice cream,frozen fish,,,,,,,,
brown bread,hygiene articles,shopping bags,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
waffles,tropical fruit,hard cheese,pickled vegetables,,,,,,,
candy,spread cheese,,,,,,,,,
whole milk,whole milk,coffee,oil,,,,,,,
domestic eggs,yogurt,,,,,,,,,
shopping bags,napkins,,,,,,,,,
chicken,shopping bags,,,,,,,,,
whole milk,pasta,,,,,,,,,
packaged fruit/vegetables,frozen fruits,rolls/buns,,,,,,,,
dessert,pickled vegetables,cat food,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
pork,yogurt,margarine,,,,,,,,
frankfurter,finished products,canned beer,hamburger meat,packaged fruit/vegetables,whipped/sour cream,curd,sweet spreads,white bread,,
sausage,berries,pasta,,,,,,,,
whole milk,specialty bar,,,,,,,,,
rolls/buns,berries,shopping bags,rice,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
canned vegetables,whole milk,,,,,,,,,
brown bread,frozen meals,herbs,whole milk,hard cheese,,,,,,
onions,rum,,,,,,,,,
tropical fruit,frozen fruits,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
soda,soda,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
shopping bags,soda,,,,,,,,,
chicken,cereals,,,,,,,,,
frozen vegetables,liquor (appetizer),,,,,,,,,
beef,other vegetables,,,,,,,,,
grapes,bottled water,,,,,,,,,
pasta,margarine,,,,,,,,,
whole milk,frankfurter,domestic eggs,flour,,,,,,,
whole milk,root vegetables,soda,,,,,,,,
dental care,other vegetables,pet care,,,,,,,,
fruit/vegetable juice,pastry,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
pip fruit,soda,domestic eggs,,,,,,,,
tropical fruit,tropical fruit,napkins,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
butter,pastry,,,,,,,,,
pastry,liquor,,,,,,,,,
hygiene articles,pastry,,,,,,,,,
dessert,sugar,,,,,,,,,
margarine,margarine,white bread,fruit/vegetable juice,,,,,,,
bottled water,sugar,,,,,,,,,
kitchen towels,rolls/buns,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
bottled beer,rolls/buns,waffles,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
tropical fruit,other vegetables,fruit/vegetable juice,,,,,,,,
tropical fruit,condensed milk,,,,,,,,,
pip fruit,white bread,,,,,,,,,
soda,beef,soda,margarine,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
rolls/buns,chicken,shopping bags,hard cheese,,,,,,,
photo/film,soda,,,,,,,,,
hamburger meat,dog food,,,,,,,,,
chicken,coffee,,,,,,,,,
bottled water,yogurt,rolls/buns,newspapers,frozen dessert,rolls/buns,,,,,
sausage,bathroom cleaner,,,,,,,,,
pork,spread cheese,,,,,,,,,
liver loaf,fruit/vegetable juice,,,,,,,,,
whole milk,whole milk,,,,,,,,,
sausage,yogurt,,,,,,,,,
cream cheese ,candles,,,,,,,,,
cake bar,shopping bags,,,,,,,,,
beverages,citrus fruit,tropical fruit,ready soups,canned fish,soda,,,,,
whole milk,other vegetables,pot plants,,,,,,,,
soda,soda,canned beer,,,,,,,,
other vegetables,whole milk,,,,,,,,,
margarine,specialty bar,,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
soda,napkins,,,,,,,,,
pork,rolls/buns,,,,,,,,,
fruit/vegetable juice,whole milk,,,,,,,,,
citrus fruit,butter,,,,,,,,,
citrus fruit,beef,,,,,,,,,
coffee,shopping bags,shopping bags,,,,,,,,
other vegetables,newspapers,,,,,,,,,
butter,popcorn,,,,,,,,,
brown bread,soda,,,,,,,,,
white wine,root vegetables,,,,,,,,,
pip fruit,abrasive cleaner,,,,,,,,,
root vegetables,onions,,,,,,,,,
root vegetables,misc. beverages,frozen dessert,,,,,,,,
butter milk,cleaner,bottled water,,,,,,,,
other vegetables,other vegetables,liquor (appetizer),specialty bar,candles,red/blush wine,,,,,
misc. beverages,yogurt,,,,,,,,,
misc. beverages,instant coffee,,,,,,,,,
rolls/buns,pork,,,,,,,,,
soda,butter,other vegetables,margarine,,,,,,,
pastry,rolls/buns,,,,,,,,,
frozen meals,tidbits,,,,,,,,,
meat,sausage,other vegetables,shopping bags,,,,,,,
other vegetables,other vegetables,,,,,,,,,
grapes,berries,soda,condensed milk,waffles,nut snack,,,,,
root vegetables,white bread,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
citrus fruit,hamburger meat,rolls/buns,,,,,,,,
ice cream,onions,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
frankfurter,canned beer,citrus fruit,frozen vegetables,chicken,oil,soda,,,,
whole milk,whole milk,,,,,,,,,
shopping bags,chocolate,,,,,,,,,
brown bread,citrus fruit,,,,,,,,,
sliced cheese,butter,,,,,,,,,
sausage,bottled water,,,,,,,,,
chicken,whole milk,,,,,,,,,
semi-finished bread,pip fruit,,,,,,,,,
pork,soda,other vegetables,ice cream,,,,,,,
soda,canned beer,,,,,,,,,
frozen chicken,white wine,,,,,,,,,
instant coffee,onions,processed cheese,dental care,,,,,,,
long life bakery product,soda,soda,,,,,,,,
other vegetables,yogurt,specialty bar,,,,,,,,
beef,misc. beverages,,,,,,,,,
other vegetables,butter,,,,,,,,,
liquor,chicken,,,,,,,,,
sausage,beverages,,,,,,,,,
pork,bottled water,baking powder,,,,,,,,
sausage,canned beer,,,,,,,,,
root vegetables,ice cream,,,,,,,,,
curd,bottled water,other vegetables,white bread,,,,,,,
pork,white wine,margarine,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
sausage,whole milk,,,,,,,,,
whole milk,dental care,,,,,,,,,
sausage,rolls/buns,pot plants,snack products,,,,,,,
meat,bottled water,soda,,,,,,,,
turkey,root vegetables,,,,,,,,,
newspapers,soda,,,,,,,,,
other vegetables,canned beer,whole milk,,,,,,,,
semi-finished bread,soda,shopping bags,long life bakery product,,,,,,,
canned beer,hamburger meat,,,,,,,,,
oil,herbs,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
whole milk,ice cream,turkey,artif. sweetener,,,,,,,
packaged fruit/vegetables,onions,,,,,,,,,
frankfurter,hygiene articles,bottled beer,,,,,,,,
white wine,coffee,,,,,,,,,
tropical fruit,soda,yogurt,root vegetables,yogurt,domestic eggs,white wine,photo/film,,,
curd,other vegetables,shopping bags,,,,,,,,
sugar,whole milk,,,,,,,,,
pastry,red/blush wine,,,,,,,,,
beef,soda,,,,,,,,,
beef,pip fruit,,,,,,,,,
whole milk,yogurt,,,,,,,,,
pork,pip fruit,yogurt,salty snack,,,,,,,
brown bread,other vegetables,,,,,,,,,
soda,canned vegetables,,,,,,,,,
whole milk,brown bread,pastry,dessert,,,,,,,
onions,pip fruit,dog food,,,,,,,,
chicken,frozen meals,,,,,,,,,
other vegetables,curd,yogurt,pudding powder,,,,,,,
whole milk,yogurt,pastry,,,,,,,,
bottled water,shopping bags,dog food,,,,,,,,
rolls/buns,abrasive cleaner,,,,,,,,,
chicken,misc. beverages,,,,,,,,,
root vegetables,butter,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
beef,candles,,,,,,,,,
whole milk,ice cream,detergent,rolls/buns,,,,,,,
pastry,mustard,,,,,,,,,
soda,newspapers,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
rolls/buns,photo/film,,,,,,,,,
rolls/buns,ham,whole milk,sliced cheese,whole milk,fruit/vegetable juice,pickled vegetables,misc. beverages,,,
dessert,pot plants,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
shopping bags,waffles,,,,,,,,,
mayonnaise,shopping bags,,,,,,,,,
hamburger meat,rolls/buns,pip fruit,berries,,,,,,,
pork,white bread,,,,,,,,,
soda,citrus fruit,,,,,,,,,
condensed milk,butter,,,,,,,,,
ham,whole milk,,,,,,,,,
margarine,canned beer,,,,,,,,,
pork,house keeping products,,,,,,,,,
canned beer,yogurt,,,,,,,,,
whole milk,white bread,,,,,,,,,
coffee,domestic eggs,,,,,,,,,
beef,sausage,oil,candles,,,,,,,
oil,frozen potato products,,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
pork,whole milk,flower (seeds),,,,,,,,
frankfurter,yogurt,waffles,,,,,,,,
other vegetables,sugar,,,,,,,,,
brown bread,pastry,,,,,,,,,
citrus fruit,ham,canned beer,frozen vegetables,tropical fruit,other vegetables,yogurt,whole milk,onions,,
salty snack,bottled water,,,,,,,,,
frozen meals,other vegetables,bottled beer,,,,,,,,
cat food,other vegetables,,,,,,,,,
canned beer,bottled water,,,,,,,,,
tidbits,dessert,cat food,,,,,,,,
candy,soda,,,,,,,,,
tropical fruit,citrus fruit,bottled water,rolls/buns,soda,pickled vegetables,,,,,
hygiene articles,canned fish,,,,,,,,,
newspapers,other vegetables,yogurt,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
yogurt,processed cheese,,,,,,,,,
canned beer,onions,,,,,,,,,
citrus fruit,rolls/buns,frozen vegetables,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
rolls/buns,mustard,,,,,,,,,
bottled beer,frankfurter,pastry,sliced cheese,frozen vegetables,,,,,,
hard cheese,bottled water,root vegetables,brown bread,,,,,,,
yogurt,citrus fruit,,,,,,,,,
turkey,frozen dessert,shopping bags,,,,,,,,
rolls/buns,soda,,,,,,,,,
dessert,pastry,,,,,,,,,
beef,brown bread,frozen fish,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
other vegetables,dish cleaner,,,,,,,,,
pip fruit,napkins,shopping bags,,,,,,,,
whole milk,napkins,,,,,,,,,
grapes,misc. beverages,,,,,,,,,
whole milk,soda,yogurt,,,,,,,,
chocolate,other vegetables,chocolate,pip fruit,bottled water,yogurt,pasta,shopping bags,,,
misc. beverages,oil,,,,,,,,,
soda,beef,bottled beer,soda,,,,,,,
curd,processed cheese,bottled water,pickled vegetables,,,,,,,
candy,soda,,,,,,,,,
shopping bags,hygiene articles,,,,,,,,,
fruit/vegetable juice,berries,,,,,,,,,
whole milk,whole milk,,,,,,,,,
pip fruit,UHT-milk,,,,,,,,,
soda,rolls/buns,,,,,,,,,
sausage,brown bread,,,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
sausage,napkins,,,,,,,,,
yogurt,brown bread,,,,,,,,,
sausage,beverages,,,,,,,,,
beef,napkins,,,,,,,,,
finished products,margarine,whipped/sour cream,,,,,,,,
seasonal products,oil,liquor (appetizer),cookware,,,,,,,
chicken,tropical fruit,,,,,,,,,
chicken,pastry,waffles,,,,,,,,
root vegetables,chocolate marshmallow,,,,,,,,,
detergent,cocoa drinks,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
whole milk,margarine,soda,softener,,,,,,,
other vegetables,root vegetables,,,,,,,,,
brown bread,fruit/vegetable juice,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
yogurt,whole milk,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
UHT-milk,salty snack,,,,,,,,,
chicken,other vegetables,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
brown bread,curd,,,,,,,,,
root vegetables,rice,,,,,,,,,
yogurt,pet care,,,,,,,,,
pork,processed cheese,,,,,,,,,
turkey,shopping bags,,,,,,,,,
rolls/buns,soda,,,,,,,,,
whole milk,soda,pickled vegetables,,,,,,,,
yogurt,other vegetables,,,,,,,,,
specialty chocolate,frankfurter,citrus fruit,candy,brown bread,,,,,,
margarine,rolls/buns,,,,,,,,,
sliced cheese,dessert,cream cheese ,,,,,,,,
chocolate marshmallow,specialty chocolate,,,,,,,,,
chocolate,pastry,,,,,,,,,
hamburger meat,brown bread,chewing gum,,,,,,,,
seasonal products,bottled beer,,,,,,,,,
soda,napkins,,,,,,,,,
pet care,whole milk,curd,frozen vegetables,,,,,,,
root vegetables,canned beer,,,,,,,,,
root vegetables,sausage,brown bread,UHT-milk,sliced cheese,frozen vegetables,white bread,,,,
sausage,whole milk,bottled water,,,,,,,,
UHT-milk,tropical fruit,,,,,,,,,
other vegetables,baking powder,salty snack,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
bottled water,soups,newspapers,root vegetables,shopping bags,,,,,,
packaged fruit/vegetables,frozen fish,,,,,,,,,
tropical fruit,whole milk,rolls/buns,cream cheese ,whole milk,shopping bags,,,,,
tropical fruit,pastry,,,,,,,,,
beef,root vegetables,,,,,,,,,
beef,whole milk,,,,,,,,,
chicken,tropical fruit,specialty chocolate,curd,citrus fruit,whole milk,semi-finished bread,,,,
pasta,newspapers,,,,,,,,,
root vegetables,white wine,bottled water,red/blush wine,,,,,,,
sausage,white wine,,,,,,,,,
citrus fruit,beverages,,,,,,,,,
pip fruit,white wine,root vegetables,shopping bags,,,,,,,
tropical fruit,cat food,,,,,,,,,
tropical fruit,frozen fish,chewing gum,newspapers,,,,,,,
brown bread,soda,,,,,,,,,
curd,rolls/buns,,,,,,,,,
ham,rolls/buns,,,,,,,,,
seasonal products,soups,,,,,,,,,
other vegetables,frozen fish,,,,,,,,,
soda,root vegetables,,,,,,,,,
pastry,onions,,,,,,,,,
pork,honey,newspapers,,,,,,,,
tropical fruit,chewing gum,,,,,,,,,
specialty chocolate,tropical fruit,,,,,,,,,
sausage,seasonal products,,,,,,,,,
Instant food products,pip fruit,,,,,,,,,
onions,specialty cheese,canned fish,,,,,,,,
rolls/buns,whole milk,shopping bags,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
seasonal products,whole milk,soda,,,,,,,,
berries,grapes,onions,,,,,,,,
soda,whole milk,,,,,,,,,
domestic eggs,bottled beer,,,,,,,,,
berries,pastry,soda,,,,,,,,
dessert,beverages,frozen meals,red/blush wine,,,,,,,
dishes,yogurt,,,,,,,,,
brown bread,brown bread,,,,,,,,,
canned beer,domestic eggs,white wine,waffles,,,,,,,
bottled water,root vegetables,,,,,,,,,
pasta,flower (seeds),,,,,,,,,
frozen vegetables,whipped/sour cream,,,,,,,,,
baking powder,pet care,yogurt,frozen vegetables,,,,,,,
flower (seeds),white wine,,,,,,,,,
meat,root vegetables,sliced cheese,,,,,,,,
berries,domestic eggs,coffee,,,,,,,,
rolls/buns,soda,chocolate,soda,,,,,,,
oil,chocolate,,,,,,,,,
rolls/buns,napkins,cream cheese ,shopping bags,,,,,,,
grapes,domestic eggs,,,,,,,,,
domestic eggs,frozen vegetables,,,,,,,,,
napkins,bottled beer,,,,,,,,,
pastry,ice cream,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
beef,curd,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
margarine,other vegetables,,,,,,,,,
misc. beverages,frozen vegetables,,,,,,,,,
whole milk,brown bread,,,,,,,,,
pork,other vegetables,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
other vegetables,curd,,,,,,,,,
bottled beer,shopping bags,soda,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
other vegetables,sweet spreads,yogurt,,,,,,,,
baking powder,pickled vegetables,,,,,,,,,
tropical fruit,cocoa drinks,,,,,,,,,
root vegetables,rolls/buns,bottled beer,rolls/buns,,,,,,,
tropical fruit,margarine,,,,,,,,,
meat,root vegetables,,,,,,,,,
frankfurter,whipped/sour cream,cat food,,,,,,,,
pot plants,organic products,,,,,,,,,
other vegetables,frankfurter,newspapers,whole milk,pastry,,,,,,
sausage,sausage,pastry,tropical fruit,whole milk,white wine,sweet spreads,whole milk,,,
citrus fruit,soda,,,,,,,,,
whole milk,cat food,,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
grapes,coffee,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
canned vegetables,white bread,,,,,,,,,
chewing gum,root vegetables,frozen vegetables,,,,,,,,
hygiene articles,frozen dessert,,,,,,,,,
flower (seeds),bottled water,,,,,,,,,
other vegetables,canned beer,,,,,,,,,
soda,root vegetables,,,,,,,,,
photo/film,domestic eggs,cocoa drinks,,,,,,,,
beverages,yogurt,,,,,,,,,
other vegetables,berries,,,,,,,,,
domestic eggs,canned beer,shopping bags,,,,,,,,
other vegetables,yogurt,whipped/sour cream,napkins,,,,,,,
rolls/buns,soda,other vegetables,pip fruit,,,,,,,
tropical fruit,waffles,,,,,,,,,
ham,onions,,,,,,,,,
root vegetables,dishes,,,,,,,,,
soda,canned fish,,,,,,,,,
citrus fruit,bottled water,specialty bar,,,,,,,,
sausage,processed cheese,,,,,,,,,
oil,citrus fruit,,,,,,,,,
pork,yogurt,,,,,,,,,
soda,whole milk,,,,,,,,,
whole milk,dog food,,,,,,,,,
whole milk,bottled water,,,,,,,,,
whole milk,specialty bar,,,,,,,,,
frozen vegetables,onions,,,,,,,,,
pork,bottled beer,butter,,,,,,,,
sugar,UHT-milk,margarine,,,,,,,,
citrus fruit,candy,bottled water,rolls/buns,,,,,,,
processed cheese,brown bread,house keeping products,,,,,,,,
soda,root vegetables,whole milk,pastry,,,,,,,
frozen vegetables,chocolate marshmallow,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
pork,rolls/buns,,,,,,,,,
cat food,domestic eggs,,,,,,,,,
UHT-milk,whipped/sour cream,,,,,,,,,
salty snack,brown bread,,,,,,,,,
brown bread,rolls/buns,processed cheese,,,,,,,,
root vegetables,bottled water,,,,,,,,,
jam,root vegetables,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
sausage,onions,misc. beverages,,,,,,,,
root vegetables,yogurt,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
yogurt,yogurt,,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
whole milk,pastry,salty snack,,,,,,,,
pip fruit,dishes,soft cheese,,,,,,,,
onions,soda,rolls/buns,,,,,,,,
pastry,sausage,soda,rolls/buns,sugar,soda,other vegetables,whole milk,softener,,
organic sausage,soda,rolls/buns,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
domestic eggs,dessert,,,,,,,,,
cream cheese ,yogurt,newspapers,detergent,,,,,,,
bottled beer,whole milk,,,,,,,,,
onions,pastry,,,,,,,,,
frankfurter,root vegetables,fruit/vegetable juice,margarine,,,,,,,
tropical fruit,bottled water,long life bakery product,,,,,,,,
root vegetables,flour,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
newspapers,newspapers,,,,,,,,,
frankfurter,shopping bags,frozen vegetables,,,,,,,,
pip fruit,whole milk,margarine,,,,,,,,
liver loaf,pasta,grapes,other vegetables,,,,,,,
sausage,dish cleaner,,,,,,,,,
chicken,yogurt,,,,,,,,,
popcorn,long life bakery product,,,,,,,,,
newspapers,root vegetables,pastry,margarine,,,,,,,
bottled beer,yogurt,,,,,,,,,
frankfurter,whipped/sour cream,other vegetables,,,,,,,,
sausage,sausage,whole milk,canned fruit,cake bar,,,,,,
soda,other vegetables,,,,,,,,,
bottled water,bottled beer,,,,,,,,,
bottled beer,oil,,,,,,,,,
prosecco,dessert,,,,,,,,,
meat,other vegetables,,,,,,,,,
bottled water,salty snack,,,,,,,,,
whole milk,cookware,brown bread,bottled beer,,,,,,,
meat spreads,hard cheese,frozen vegetables,butter,,,,,,,
instant coffee,sparkling wine,,,,,,,,,
long life bakery product,whole milk,,,,,,,,,
bottled water,other vegetables,pastry,rolls/buns,domestic eggs,,,,,,
bottled beer,packaged fruit/vegetables,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
frozen potato products,rolls/buns,,,,,,,,,
whole milk,tropical fruit,other vegetables,yogurt,domestic eggs,,,,,,
tropical fruit,whole milk,,,,,,,,,
pastry,soda,,,,,,,,,
liquor,specialty chocolate,,,,,,,,,
citrus fruit,white bread,,,,,,,,,
misc. beverages,dessert,,,,,,,,,
dessert,dog food,newspapers,,,,,,,,
meat,sausage,baking powder,pastry,,,,,,,
rolls/buns,pork,,,,,,,,,
meat,pip fruit,,,,,,,,,
citrus fruit,pork,pip fruit,yogurt,brown bread,male cosmetics,,,,,
sausage,rolls/buns,,,,,,,,,
newspapers,chewing gum,,,,,,,,,
liquor (appetizer),chocolate,soda,,,,,,,,
yogurt,beef,,,,,,,,,
brown bread,tropical fruit,berries,berries,,,,,,,
whole milk,baking powder,,,,,,,,,
shopping bags,whole milk,whole milk,whole milk,detergent,flour,,,,,
sausage,specialty cheese,,,,,,,,,
specialty bar,shopping bags,,,,,,,,,
frozen meals,UHT-milk,,,,,,,,,
sausage,spread cheese,bottled water,,,,,,,,
other vegetables,curd,,,,,,,,,
soft cheese,hard cheese,,,,,,,,,
rolls/buns,baking powder,,,,,,,,,
pork,bottled water,,,,,,,,,
canned beer,curd,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
beef,pip fruit,,,,,,,,,
butter,cake bar,ice cream,fruit/vegetable juice,,,,,,,
sausage,long life bakery product,,,,,,,,,
pork,cream cheese ,,,,,,,,,
canned beer,whipped/sour cream,pastry,,,,,,,,
whole milk,margarine,,,,,,,,,
chewing gum,coffee,sugar,,,,,,,,
citrus fruit,coffee,,,,,,,,,
pastry,curd,bottled beer,,,,,,,,
pork,brown bread,misc. beverages,,,,,,,,
other vegetables,white bread,,,,,,,,,
pip fruit,soda,,,,,,,,,
finished products,curd cheese,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
pot plants,rolls/buns,,,,,,,,,
onions,bottled water,pastry,,,,,,,,
berries,whipped/sour cream,,,,,,,,,
whole milk,canned beer,,,,,,,,,
beef,bottled water,,,,,,,,,
bottled beer,fruit/vegetable juice,rolls/buns,,,,,,,,
soda,pastry,,,,,,,,,
soda,newspapers,,,,,,,,,
house keeping products,salty snack,semi-finished bread,other vegetables,whole milk,domestic eggs,chocolate marshmallow,whole milk,,,
berries,other vegetables,,,,,,,,,
margarine,cat food,,,,,,,,,
berries,soda,oil,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
red/blush wine,frozen meals,canned fruit,,,,,,,,
grapes,pip fruit,photo/film,root vegetables,cling film/bags,,,,,,
pork,root vegetables,,,,,,,,,
